Text,Category,WordCount,TokenCount
januari hous sale drop realti group say sale previous own home drop 145 pct januari season adjust annual rate 347 mln unit nation associ realtor nar said decemb rate 406 mln unit highest sinc record 415 mln unit sale rate set novemb 1978 group said drop januari surpris consid signific portion decemb nearrecord pace made seller seek get favor capit gain treatment old tax law said nar john tuccillo,acq,92,104
owen minor inc obod rais qtli dividend qtli div eight ct v 75 ct prior pay march 31 record march 13,earn,14,14
comput languag research clri 4th qtr shr loss 22 ct v loss 18 ct net loss 3035000 v loss 2516000 rev 209 mln v 196 mln qtli div three ct v three ct prior year shr profit two ct v profit 34 ct net profit 215000 v profit 4647000 rev 934 mln v 987 mln note dividend payabl april one sharehold record march 17,earn,60,62
cinram ltd 4th qtr net shr 45 ct v 58 ct net 11 mln v 829000 sale 79 mln v 94 mln avg shr 2332397 v 1428000 year shr 122 dlr v 106 dlr net 29 mln v 15 mln sale 257 mln v 222 mln avg shr 2332397 v 1428000,acq,46,46
standard trustco see better year standard trustco said expect earn 1987 increas least 15 20 pct 9140000 dlr 252 dlr per share record 1986 stabl interest rate grow economi expect provid favor condit growth 1987 presid brian omalley told sharehold annual meet standard trustco previous report asset 128 billion dlr 1986 110 billion dlr 1985 return common sharehold equiti 186 pct last year 15 pct 1985,earn,89,101
ico produc present new coffe propos intern coffe organ ico produc countri present propos reintroduc export quota 12 month april 1 firm undertak tri negoti septemb 30 futur quota distribut new basi ico deleg said distribut april 1 would unchang basi earlier produc propos includ shortfal redistribut total 122 mln bag said resumpt ico contact group meet consum schedul even postpon tomorrow deleg said,interest,89,100
mclean mii u line set asset transfer mclean industri inc unit state line inc subsidiari said agre principl transfer south american servic arrang transfer certain charter asset crowley mariotim corp american transport line inc subsidiari u line said negoti contract expect complet within next week term condit contract would subject approv variou regulatori bodi includ u bankruptci court,sugar,75,85
chemlawn chem rise hope higher bid chemlawn corp chem could attract higher bid 27 dlr per share offer wast manag inc wnx wall street arbitrageur said share chemlawn shot 1158 2938 overthecount trade 38 mln compani 101 mln share chang hand late afternoon compani could go 10 time cash flow 30 dlr mayb 32 dollar depend whether compet bidder arbitrageur said wast manag tender offer announc open today expir march 25 total surpris said debra strohmaier chemlawn spokeswoman compani board held regularli schedul meet today discus wast manag announc said statement expect certain would readi unabl say prior contact wast manag chemlawn offici think resist said elliott schlang analyst prescott ball turben inc compani doesnt like surpris attack would arbitrageur point difficult resist tender offer share cash schlang said chemlawn could tri find white knight want acquir wast manag analyst rosemari morbelli ingal snyder said servicemast compani lp svm rollin inc rol exampl compani could interest chemlawn two mln custom largest u compani involv applic fertil pesticid herbicid lawn wast manag involv remov wast schlang said chemlawn custom base could valuabl anoth compani want capit strong residenti commerci distribut system schlang morbelli note high growth rate catapult chemlawn share price mid30 1983 stock languish rate growth slow schlang said compani profit concentr fourth quarter 1986 chemlawn earn 119 dlr per share full year 258 dlr fourth quarter morbelli note chemlawn compet thousand individu entrepreu offer lawn garden care sevic,earn,361,426
u sugar import week usda sugar import subject u sugar import quota week end januari 9 initi week 1987 sugar quota year total 5988 short ton versu 46254 ton previou week agricultur depart said sugar import quota 1987 quota year januarydecemb set 1001430 short ton compar 1850000 ton 1986 quota year extend three month decemb 31 depart said custom servic report weekli cumul import report actual weight basi final polar receiv cumul import data adjust accordingli,earn,104,114
brazil antiinfl plan limp anniversari inflat plan initi hail home abroad saviour economi limp toward first anniversari amid soar price widespread shortag foreign payment crisi announc last februari 28 plan froze price fix valu new cruzado currenc end widespread index economi bid halt countri 250 pct inflat rate within year plan collaps situat wors although inflat least economi work lead bank economist said crumbl plan accompani dramat revers foreign trade account 1984 1985 brazil annual trade surplus suffici cover 12 billion dlr need servic 109 billion dlr foreign debt first nine month 1986 seem target repeat monthli surplus averag one billion dlr export divert import increas avoid domest shortag trade surplu plung 211 mln dlr octob sinc averag 150 mln,acq,193,213
nz offici foreign reserv fall januari new zealand offici foreign reserv fell 715 billion nz dlr januari 720 billion dlr decemb compar 303 billion year ago period reserv bank said weekli statist bulletin,earn,37,41
agenc report 39 ship wait panama canal panama canal commiss u govern agenc said daili oper report backlog 39 ship wait enter canal earli today next two day expect 226 227 due 27 35 schedul transit 35 41 endday backlog 31 25 averag wait time tomorrow super tanker regular vessel north end 13 hr 15 hr south end 4 hr 26 hr,acq,72,80
emhart corp emh qtli dividend qtli div 35 ct v 35 ct prior payabl march 31 record march nine,ship,14,14
intern cite strong prospect intern inc report oper loss januari 31 second quarter said prospect balanc fiscal year remain good said order harri graphic subsidiari acquir june 1986 continu run strong pace six month order rose 35 pct correspond prioryear period annual basi run 630 mln dlr backlog harri 30 pct begin fiscal year said intern said old divis expect benefit recent new product introduct declin valu dollar research develop engin expenditur fiscal 1987 4550 mln dlr rang compani said alloc anoth 3040 mln dlr capit expenditur earlier report fourth quarter oper loss two ct share compar profit seven ct share year ago revenu rose 2918 mln dlr 1511 mln dlr,ship,173,193
ccc credit hondura switch white corn commod credit corpor ccc announc 15 mln dlr credit guarante previous earmark cover sale dri edibl bean hondura switch cover sale white corn u agricultur depart said depart said action reduc coverag sale dri edibl bean 500000 dlr creat new line 15 mln dlr sale white corn sale credit guarante line must regist ship septemb 30 1987 said,earn,85,93
asset u money fund rose week asset money market mutual fund increas 7204 mln dlr week end yesterday 23690 billion dlr invest compani institut said asset 91 institut fund rose 356 mln dlr 6619 billion dlr 198 gener purpos fund rose 2125 mln dlr 6294 billion dlr 92 brokerdeal fund rose 1519 mln dlr 10777 billion dlr,interest,61,65
gulf barg freight rate call gulf barg freight rate firm outlook steadi vessel load gulf increas demand barg suppli ship dealer said barg trade today st loui merchant exchang call session versu 29 yesterday quot includ deliveri week illinoi river joliet 135 pct tariff bid140 offer next week river ex chicago quot 212 percentag point next week mississippi river st loui 120 pct bid12712 offer five point next week ohio river owensborosouth 125 pct bid13212 offer 712 point station illinoi river south chicago 135 pct bid140 offer comparison march illinoi ex chicago 13212 pct bid140 offer 212 point march ohio river bid yesterday trade level 125 pct offer 13212 march lower mississippi river memphiscairo 11212 pct bid120 offer comparison may illinoi river ex chicago 100 pct bid10712 offer comparison septnov lower mississippi river memphiscairo 13712 pct bid145 offer septdec section 125 pct bid135 offer comparison,earn,194,231
gulf appli gat sell unit see gain gulf appli technolog inc said sold pipelin termin oper unit 122 mln dlr record gain 29 mln dlr first quarter ad feder tax owe transact offset oper loss carryov,earn,47,49
farmer group inc fgrp 4th qtr net shr 80 ct v 72 ct net 55513000 v 48741000 rev 2909 mln v 2642 mln year shr 309 dlr v 272 dlr net 213470000 v 184649000 rev 112 billion v 9929 mln avg shr 69127000 v 68004000,earn,38,38
potomac electr power co pom jan net shr 27 ct v 29 ct net 13555000 v 14635000 rev 104606000 v 110311000 avg shr 472 mln v 471 mln 12 mth shr 410 dlr v 366 dlr net 226653000 v 186790000 rev 14 billion v 13 billion avg shr 471 mln v 471 mln note latest 12 mth net includ gain 46 ct per share sale virginia servic territori dominion resourc inc,earn,68,74
cofab inc buy gulfex undisclos amount cofab inc said acquir gulfex inc houstonbas fabric custom highpressur process vessel energi petrochem industri cofab said group compani manufactur special cool lubric system oil ga petrochem util pulp paper marin industri,earn,46,56
u weekli soybean crush 21782929 bushel report member nation soybean processor associ nspa crush 21782929 bushel soybean week end feb 25 compar 22345718 bushel previou week 16568000 yearago week associ said said total crush capac member 25873904 bushel v 25873904 last week 25459238 bushel last year nspa also said u soybean meal export week 117866 tonn v 121168 tonn week ago compar 84250 tonn yearago week nspa said figur includ nspa member firm,earn,93,100
tultex corp ttx set quarterli dividend qtli div eight ct v eight ct prior pay april one record march 13,earn,14,14
atico financi corp atfc 4th qtr net shr 30 ct v 592 dlr net 1142000 v 160 mln rev 106 mln v 242 mln year shr 90 ct v 620 dlr net 3320000 v 169 mln rev 4500 mln v 262 mln note 1986 4th qtr yr amount includ acquisit 988 pct common atico formerli peninsula feder save loan associ januari 24 1986 1985 4th qtr yr net includ net gain 159 mln dlr 586 dlr per share exchang common pan america bank inc common ncnb corp purus merger compani,money-fx,101,107
ico export modifi new propos intern coffe organ ico export modifi new propos quota resumpt present import tomorrow ico deleg said chang discus tonight inform among produc follow talk formal produc session eightmemb produc splinter group affect propos quota distribut 12 month april one said propos shareout would still includ shortfal declar said,earn,70,80
u commerci paper fall 375 mln dlr feb 18 week fed say u commerci paper fall 375 mln dlr feb 18 week fed say,earn,13,14
ny busi loan fall 195 mln dlr feb 18 week fed say ny busi loan fall 195 mln dlr feb 18 week fed say,acq,13,14
new york bank discount window borrow 64 mln dlr feb 25 week new york bank discount window borrow 64 mln dlr feb 25 week,acq,13,13
new york busi loan fall 195 mln dlr commerci industri loan book 10 major new york bank exclud accept fell 195 mln dlr 6506 billion week end februari 18 feder reserv bank new york said includ accept loan declin 114 mln dlr 6589 billion commerci paper outstand nation drop 375 mln dlr 33663 billion nation busi loan data schedul releas friday,earn,69,77
ny bank discount borrow 64 mln dlr eight major new york citi bank 64 mln dlr averag borrow feder reserv week wednesday februari 25 fed spokesman said week mark second half twoweek bank statement period end wednesday bank borrow prior week comment latest week fed spokesman said borrow occur yesterday done fewer half bank nation data discount window borrow due releas 1630 est 2130 gmt,earn,96,105
philippin long distanc phi year net shr primari 9530 peso v 2971 peso shr dilut 6111 peso v 1849 peso qtli div 125 peso v 125 peso net 19 billion v 779 mln rev 61 billion v 47 billion note full name philippin long distanc telephon co figur quot philippin peso dividend payabl april 15 holder record march 13 exchang rate day dividend declar 20792 peso per dollar,earn,68,73
liberti allstar equiti fund initi div qtli div five ct v na payabl april two record march 20 note1986 dividend includ special two ct per share period begin fund commenc oper novebm three decemb 31 1986,earn,37,41
combust engin inc csp regular div qtli div 25 ct v 25 ct prior pay april 30 record april 16,acq,14,14
tonka corp tka rais dividend qtli div two ct v 17 ct pay march 26 record march 12,earn,13,13
bdm intern bdm increas qtrli div annual div class 14 ct v 12 ct prior annual div class b 121 ct v 104 ct prior payabl april one record march 20 note full name bdm intern inc,earn,33,35
systemat inc syst regular payout qtli div three ct v three ct prior pay march 13 record februari 27,earn,14,14
u m1 money suppli rise 21 billion dlr feb 16 week fed say u m1 money suppli rise 21 billion dlr feb 16 week fed say,acq,14,15
u bank discount borrow averag 310 mln dlr feb 25 week fed say u bank discount borrow averag 310 mln dlr feb 25 week fed say,earn,14,15
u bank net free reserv 644 mln dlr two week feb 25 fed say u bank net free reserv 644 mln dlr two week feb 25 fed say,interest,16,17
invest firm cut cyclop cyl stake group affili new york invest firm said lower stake cyclop corp 260500 share 64 pct total outstand common stock 370500 share 92 pct file secur exchang commiss group led mutual share corp said sold 110000 cyclop common share feb 17 19 100 mln dlr,earn,66,74
asc termin market valu pik grain agricultur stabil conserv servic asc establish unit valu commod offer govern stock redempt commod credit corpor commod certif effect next busi day price per bushel u dollar sorghum price per cwt corn yellow grade wheat hrw hr srw sww durum chicago 304 298 ill track 316 toledo 304 298 290 memphi 305 peoria 311 denver 262 263 evansvil 299 cincinnati 296 minneapoli 265 271 370 baltimor norfphil 306 298 kansa citi 287 317 st loui 303 303 amarillo lubbock 264 hrw hr srw sww durum lou gulf 316 portland seattl 307 308 310 370 stockton 278 la 323 405 duluth 265 271 370 tex gulf 310 316 corn brli oat rye soyb sorg chicago 147 481 249 ill track 149 204 485 252 toledo 141 204 150 478 239 memphi 159 195 171 490 286 peoria 151 480 260 denver 156 156 254 evnsvll 154 204 150 217 490 261 cinci 152 204 150 217 485 258 mpl 134 175 150 185 468 baltnor phil 170 180 498 312 kc 149 156 164 476 258 st lo 154 166 490 291 amarlo lubbck 184 140 475 292 lou gulf 173 505 312 port seattl 187 210 168 stockton 218 223 210 400 la 254 250 438 duluth 134 175 150 185 468 tex gulf 173 148 173 505 312,earn,327,338
coradian corp cdin 4th qtr net shr profit three ct v loss three ct net profit 363000 v loss 197000 rev 3761000 v 2666000 year shr profit one cent v loss 37 ct net profit 129000 v loss 1715000 rev 114 mln v 109 mln avg shr 10694081 v 4673253,acq,44,44
26feb1987 26feb1987,earn,1,1
nz trade bank deposit growth rise slightli new zealand trade bank season adjust deposit growth rose 26 pct januari compar rise 94 pct decemb reserv bank said yearonyear total deposit rose 306 pct compar 263 pct increas decemb year 345 pct rise year ago period said weekli statist releas total deposit rose 1718 billion nz dlr januari compar 1674 billion decemb 1316 billion januari 1986,earn,79,86
26feb1987 26feb1987,earn,1,1
26feb1987 26feb1987,earn,1,1
26feb1987 26feb1987,earn,1,1
world market price upland cotton usda u agricultur depart announc prevail world market price adjust u qualiti locat strict low middl 1116 inch upland cotton 5269 ct per lb effect midnight march 5 adjust world price averag u produc locat near lubbock texa adjust qualiti locat price use determin first handler cotton certif payment rate base data week end februari 26 adjust world price upland cotton determin follow ct per lb northern european price 6632 adjust averag u spot mkt locat 1042 slm 1116 inch cotton 180 averag u locat 053 sum adjust 1275 adjust world price 5357,earn,127,139
sugar quota import detail usda u agricultur depart said cumul sugar import individu countri 1987 quota year began januari 1 1987 end decemb 31 1987 follow quota alloc quota year short ton raw valu cumul quota 1987 import alloc argentina nil 39130 australia nil 75530 barbado nil 7500 beliz nil 10010 bolivia nil 7500 brazil nil 131950 canada nil 18876 quota 1987 import alloc colombia 103 21840 congo nil 7599 costa rica nil 17583 ivori coast nil 7500 dom rep 5848 160160 ecuador nil 10010 el salvador nil 260198 fiji nil 25190 gabon nil 7500 quota 1987 import alloc guatemala nil 43680 guyana nil 10920 haiti nil 7500 hondura nil 159172 india nil 7500 jamaica nil 10010 madagascar nil 7500 malawi nil 9100 quota 1987 import alloc mauritiu nil 10920 mexico 37 7500 mozambiqu nil 11830 panama nil 26390 papua new guinea nil 7500 paraguay nil 7500 peru nil 37310 philippin nil 143780 stchristoph nevus nil 7500 quota 1987 import alloc swaziland nil 14560 taiwan nil 10920 thailand nil 12740 trinidadtobago nil 7500 uruguay nil 7500 zimbabw nil 10920,interest,187,194
grain ship load portland seven grain ship load six ship wait load portland accord portland merchant exchang,earn,21,23
meridian bancorp inc mrdn set regular payout qtli div 25 ct v 25 ct prior pay april one record march 15,interest,14,14
u bank discount borrow 310 mln dlr u bank discount window borrow le extend credit averag 310 mln dlr week wednesday februari 25 feder reserv said fed said overal borrow week fell 131 mln dlr 614 mln dlr extend credit 10 mln dlr 304 mln dlr week second half twoweek statement period net borrow prior week averag 451 mln dlr comment twoweek statement period end februari 25 fed said bank averag net free reserv 644 mln dlr day 134 billion two week earlier feder reserv spokesman told press brief larg singl day net miss fed reserv project week wednesday said natur float act bit strang time year note poor weather latest week spokesman said natur float rang 500 mln dlr friday could give reason nearli one billion dlr thursday wednesday fed spokeman could give reason thursday high float said 750 mln dlr wednesday float figur due holdov transport float two wide separ fed district week whole said float relat adjust small ad fell neg 750 mln dlr tuesday due number correct unrel cash letter error six district around countri spokesman said tuesday wednesday two differ clear bank system problem secur feder fund wire held open 2000 2100 est day howev said problem clear afternoon evid reserv impact week end wednesday 45 pct net discount window borrow made smallest bank 30 pct 14 larg money center bank 25 pct larg region institut wednesday 55 pct borrow account money center bank 30 pct larg region 15 pct smallest bank fed spokesman said bank system excess reserv thursday monday tuesday deficit friday wedndsday produc small daili averag deficit week whole twoweek period said rel high excess reserv daili avearg almost smallest bank,earn,452,495
u m1 money suppli rose 21 billion dlr u m1 money suppli rose 21 billion dlr season adjust 7367 billion dlr februari 16 week feder reserv said previou week m1 level revis 7346 billion dlr 7342 billion dlr fourweek move averag m1 rose 7350 billion dlr 7335 billion economist poll reuter said m1 anywher four billion dlr 23 billion dlr averag forecast call 300 mln dlr m1 rise,earn,85,92
liberti allstar usa set initi payout liberti allstar equiti fund said declar initi dividend five ct per share payabl april two sharehold record march 20 said dividend includ quarterli dividend three ct share special payout two ct share cover period novemb three 1986 fund began oper decemb 31 1986 fund said quarterli dividend rate may fluctuat futur,acq,75,84
chine pork output seen lower usda high feed price caus chine reduc hog herd growth pork product year u agricultur depart said world product trade report depart said hog number start 1987 estim 3316 mln head slightli 1986 10 mln head earlier project 1987 pork product 1986 42 pct 1725 mln tonn slightli earlier estim said 1987 product project fall 1705 mln tonn feed price end januari report 35 40 pct yearago level depart said,earn,106,119
ivaco see minim first quarter earn ivaco inc said price pressur steel product particularli u recent increas valu canadian dollar expect result minim first quarter earn said subsequ quarter show substanti improv first quarter level 1987 earn reach 1986 level long condit continu ivaco earlier report 1986 profit rose 441 mln dlr one mln dlr extraordinari gain 351 mln dlr previou year said demand compani product continu high level sale expect show growth revenu last year rose 194 billion dlr 134 billion dlr 1985,earn,116,130
u grain carload fall week u grain carload total 26108 car week end februari 21 22 pct previou week 228 pct correspond week year ago associ american railroad report grain mill product load week total 11382 car 18 pct previou week 76 pct week year earlier associ said,acq,65,71
hong kong firm up wratherwco stake 11 pct industri equiti pacif ltd hong kong invest firm said rais stake wrather corp 816000 share 113 pct total outstand common stock 453300 share 63 pct file secur exchang commiss industri equiti princip own brierley invest ltd publicli held new zealand compani said bought 362700 wrather common share feb 13 24 66 mln dlr first disclos stake wrather earlier month said bought stock invest purpos,earn,96,111
diamond shamrock dia cut crude price diamond shamrock corp said effect today cut contract price crude oil 150 dlr barrel reduct bring post price west texa intermedi 1600 dlr barrel copani said price reduct today made light fall oil product price weak crude oil market compani spokeswoman said diamond latest line u oil compani cut contract post price last two day cite weak oil market,wheat,91,101
liebert corp lieb approv merger liebert corp said sharehold approv merger whollyown subsidiari emerson electr co emr term merger liebert sharehold receiv 3322 share emerson stock liebert share,acq,37,44
northern telecom propos twoforon stock split northern telecom propos twoforon stock split,earn,6,6
coleco industri clc see profit 1987 coleco industri inc said expect return profit 1987 earlier coleco report net loss 1112 mln dlr year end decemb 31 compar profit 642 mln dlr year earlier prepar statement compani said dramat swing oper result due primarili steep declin sale cabbag patch kid product 600 mln dlr 230 mln dlr coleco said chang singl product compani diversifi organ four major acquisit last year product new acquisit new product introduct expect enabl return profit said annual toy fair earlier month vice presid morton handel said analyst 1987 project earn 90 ct share sale 600 mln dlr reason,acq,146,157
26feb1987 26feb1987,earn,1,1
26feb1987 26feb1987,trade,1,1
gulf appli technolog gat sell unit gulf appli technolog inc said sold subsidiari engag pipelin termin oper 122 mln dlr compani said sale subject certain post close adjust explain,earn,36,39
invest group rais robeson rbsn stake group affili miamibas invest firm led fundament manag corp said rais stake robeson industri corp 238000 share 146 pct total 205000 128 pct file secur exchang commiss group said bought 32800 robeson common share jan 26 feb 9 175691 dlr group said may buy share plan studi robeson oper afterward may recommend manag make chang oper fundament manag chairman carl singer recent elect robeson board,earn,99,108
gao like show cert costli cash studi grain certif due shortli govern account offic gao could show certif cost govern 10 15 pct cash outlay administr industri sourc said analysi gao obtain agricultur depart offic manag budget suggest certif cost cash payment gao offici told reuter gao prepar certif studi specif request sen jess helm rnc former chairman senat agricultur committe report focu cost certif compar cash schedul releas mid march cost certif said gao sourc depend program impact usda loan program gao determin certif encourag loan entri caus loan forfeitur net cost program would go howev determin certif caus govern grain stockpil decreas cost effect certif would le gao like suggest whether certif program slow expand gao offici said neg report certif fuel fire certif weigh heavili least increas certif program agricultur consult said omb said expans program usda remain firmli commit,earn,237,267
citi nation corp ctyn rais dividend shr 16 ct v 13 ct pay april 15 record march 31,earn,12,12
page petroleum ltd year loss shr loss 198 dlr v loss 524 dlr net loss 233 mln v loss 448 mln rev 136 mln v 296 mln note 1986 net includ nine mln dlr extraordinari loss oil ga writedown unreal foreign exchang loss v yrago loss 325 mln dlr,earn,48,50
idb commun group inc idbx year net period end decemb 31 shr 25 ct v 20 ct net 801000 v 703000 rev 6318000 v 3926000,earn,18,19
armor product corp armr quarterli div qtli div ten ct v ten ct pay april 1 record march 9,earn,13,13
opec may meet firm price analyst opec may forc meet schedul june session readdress product cut agreement organ want halt current slide oil price oil industri analyst said movement higher oil price never easi opec thought may need emerg meet sort problem said daniel yergin director cambridg energi research associ cera analyst oil industri sourc said problem opec face excess oil suppli world oil market opec problem price problem product issu must address way said paul mlotok oil analyst salomon brother inc said market earlier optim opec abil keep product control given way pessimist outlook organ must address soon wish regain initi oil price analyst uncertain even emerg meet would address problem opec product 158 mln bpd quota set last decemb opec learn buyer market cannot deem quota fix price set differenti said region manag one major oil compani spoke condit name market tri teach lesson ad david mizrahi editor mideast report expect opec meet june although immedi howev optimist opec address princip problem meet tri take advantag winter demand sell oil late march april demand slacken mizrahi said mizrahi said opec unlik anyth reiter agreement keep output 158 mln bpd analyst said next two month critic opec abil hold togeth price output opec must hold pact next six eight week sinc buyer come back market said dillard sprigg petroleum analysi ltd new york bijan moussavarrahmani harvard univers energi environ polici center said demand opec oil rise first quarter may prompt excess product demand opec oil clearli 158 mln bpd probabl closer 17 mln bpd higher see character cheat opec meet demand current product told reuter telephon interview,crude,442,498
cenergi crg report 4th qtr net profit cenergi corp report fourth quarter net incom 790000 dlr seven ct per share revenu 77 mln dlr year report net loss 65 mln dlr 70 ct per share result writedown book valu oil ga properti first two quarter revenu 37 mln dlr follow compani fiscal year end march 31 1985 chang calend year end nine month end dec 31 1985 report loss 634 mln dlr 654 dlr per share revenu 476 mln dlr said result noncash writedown oil ga properti year end march 31 1985 cenergi report net incom 3705000 dlr 36 ct per share revenu 71 mln dlr compani said reserv year fell five mln barrel 64 mln barrel oil 601 bilion cubic foot ga 637 bcf said reserv disappear avail produc price recov,earn,190,206
northern telecom ltd nt declar stock split twoforon stock split pay may 12 note split subject approv sharehold april 23 annual meet compani also said increas dividend postsplit share six ct five ct,earn,35,38
torchmark tmk author stock repurchas torchmark corp said board author purchas time time signific portion 734 pct convert subordin debentur februari 25 said outstand 150 mln dlr princip amount debenur compani also said plan redeem debentur june eight also declar regular quarterli dividend 25 ct per share common payabl may one sharehold record april 10,acq,78,83
techamerica group inc tch 4th qtr loss shr loss six ct v avail net loss 562231 v profit 10253 rev 8871874 v 9549308 year shr loss 60 ct v loss nine ct net loss 5058145 v loss 766185 rev 343 mln v 355 mln,interest,38,38
wilfr american educ wae regular div qtli div three ct v three ct prior pay april three record march 13,acq,14,14
nova win govern okay huski hyo deal nova canadian compani own 56 pct huski oil ltd said receiv govern approv transact union faith canada hold ltd would buy 43 pct stake huski nova said minist region industri expans michel cote rule union faith purchas huski stake would result huski cede control noncanadian compani said rule key condit complet deal union faith equal own hutchison whampoa ltd hong kong electr hold ltd agreement union faith huski becom privat compani union faith nova hold 43 pct stock nine pct huski would own rel li kash chairman hutchison five pct canadian imperi bank commeric,earn,142,168
potomac electr power co pom januari net oper shr 27 ct v 29 ct oper net 135 mln v 146 mln rev 1046 mln v 1103 mln 12 mth oper shr 410 dlr v 366 dlr oper net 205 mln v 1868 mln rev 14 billion v 13 billion note 1986 12 mth oper net exclud extraordinari gain 217 mln dlr 46 ct per share sale virginia servic territori virginia power,earn,69,71
suffield financi ssbk get fed approv suffield financi corp said feder reserv board approv applic acquir coastal bancorp csbk portland suffield said still need approv superintend main bank depart,crude,32,41
afg industri inc afg quarterli dividend qtli div four ct v four ct pay april 3 record march 23,money-fx,13,13
gsw inc year net oper shr 216 dlr v 207 dlr oper net 8037000 v 7710000 rev 1364 mln v 1333 mln note 1986 net exclud extraordinari gain 13 mln dlr 350 dlr shr sale camco inc share v yrago loss 43 mln dlr 114 dlr shr,earn,49,55
santa anita realti sar quarterli dividend qtli div 51 ct v 51 ct pay april 9 record march 25 santa anita realti enterpris inc,earn,18,20
liquid air corp lana quarterli dividend qtli div 40 ct v 40 ct pay march 31 record march 16,earn,13,13
marshal steel ltd year net oper shr five ct v 36 ct oper net 508000 v 3450000 rev 2967 mln v 2980 mln note former name marshal drummond mccall inc result includ extraordinari gain 952000 dlr 11 ct per share 1986 2569000 dlr 29 ct 1985 incom tax reduct,money-supply,51,54
marshal steel detail gain unit sale marshal steel ltd formerli marshal drummond mccall inc said report 17 mln dlr net gain tax year sale drummond mccall divis sold effect januari one,earn,36,42
